Id,Address,Notes,ImageUrl
1,6000 Bogie Lake Road, Commerce Township,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6097007,-83.4986496&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
2,1630 Bogie Lake Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6266105,-83.5152279&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
3,6775 Highland Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.65297049999999,-83.5230445&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
4,1 William Carls Drive Suite 240, Commerce Township,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.592908,-83.4991807&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
5,340 Town Center Boulevard, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.64903289999999,-83.5001207&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
6,9078 Highland Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.66048790000001,-83.465927&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
7,9278 Highland Road Unit 1, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6570798,-83.4703838&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
8,1540 East Commerce Road, Commerce Township,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.598213,-83.49802120000001&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
9,310 Town Center Boulevard, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6483502,-83.49873570000001&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
10,9750 Highland Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6571501,-83.4788592&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
11,7375 Highland Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.65044759999999,-83.5148502&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
12,2630 East Highland Road, Highland Township,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6531524,-83.57815550000001&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
13,10951 Highland Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6477781,-83.5026383&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
14,VILLAGE LAKES SHOPPING CENTER, 310 Town Center Boulevard B102, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.64817609999999,-83.4987501&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
15,5951 Highland Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6494108,-83.53627209999999&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
16,7501 Highland Road, Waterford Township,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.6604773,-83.4342151&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
17,5200 Indian Trail, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.706092,-83.48450389999999&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
18,6001 Highland Road, White Lake,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.65162559999999,-83.5317464&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
19,Milford,,https://maps.googleapis.com/maps/api/streetview?size=640x640&location=42.5916684,-83.6003703&key=AIzaSyAMCuhMSeDuZRdvscIWAwYk9KCrbGJ6hwg
